type,id,name,gender,person,description
way,137829806,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,182008773,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,182008774,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,191900868,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,203942597,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,421668829,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,482234634,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,549588780,"Rue Jules Cockx - Jules Cockxstraat",M,"Jules Cockx","Combattant, originaire d'Auderghem, mort au champ d'honneur durant la première Guerre mondiale"
way,12473684,"Rue Marcq - Marcqstraat",M,"G.-S. Marcq","Administrateur du Conseil des Hospices, échevin de la Ville de Bruxelles (1780-1848)"
way,14454885,"Rue Maurice Charlent - Maurice Charlentstraat",M,"Maurice Charlent",
way,223925202,"Rue Maurice Charlent - Maurice Charlentstraat",M,"Maurice Charlent",
way,558240548,"Rue Maurice Charlent - Maurice Charlentstraat",M,"Maurice Charlent",
way,178710445,"Rue Max Roos - Max Roosstraat",M,"Max Roos","Industriel, propriétaire du terrain à travers lequel la rue fut tracée (1867-1925)"
way,178710452,"Rue Max Roos - Max Roosstraat",M,"Max Roos","Industriel, propriétaire du terrain à travers lequel la rue fut tracée (1867-1925)"
way,283214764,"Rue Max Roos - Max Roosstraat",M,"Max Roos","Industriel, propriétaire du terrain à travers lequel la rue fut tracée (1867-1925)"
way,4730689,"Rue Moris - Morisstraat",M,"William Morris","Pionnier du développement du tram à Bruxelles, et plus particulièrement à Saint-Gilles"
way,49942346,"Rue Moris - Morisstraat",M,"William Morris","Pionnier du développement du tram à Bruxelles, et plus particulièrement à Saint-Gilles"
way,155469560,"Rue Philippe Dewolfs - Philippe Dewolfsstraat",M,"Philippe Dewolfs",
way,284966350,"Rue Pierre de Puysselaer - Pierre de Puysselaerstraat",M,"Pierre de Puysselaer","Ancien directeur des Indienneries de Stalle (1829-1910)"
way,284966351,"Rue Pierre de Puysselaer - Pierre de Puysselaerstraat",M,"Pierre de Puysselaer","Ancien directeur des Indienneries de Stalle (1829-1910)"
way,284966352,"Rue Pierre de Puysselaer - Pierre de Puysselaerstraat",M,"Pierre de Puysselaer","Ancien directeur des Indienneries de Stalle (1829-1910)"
way,8241468,"Rue Rasson - Rassonstraat",M,"Jean-Baptiste Rasson","Officier des carabiniers, conseiller communal (1812-1898)"
